ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
2327,Number of People Aware of a Secret,Number / Bit / Math,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),State-table / recurrence canvas
2328,Number of Increasing Paths in a Grid,Graph / Network,DFS,Memoized DFS,+ Sorting,Canonical: Depth-first component exploration,O(V+E),O(V),Grid / board canvas
2329,Product Sales Analysis V (Premium SQL),Relational Table / SQL,SQL / Group By,Grouped aggregation,None,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2330,Valid Palindrome IV (Premium),String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Lookup-table / bucket canvas
2331,Evaluate Boolean Binary Tree,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
2332,The Latest Time to Catch a Bus,Array / Sequence,Backtracking,Choice tree with undo,+ Sorting,Canonical: Permutations / combinations search,O(branch^depth),O(depth),Coordinate-plane canvas
2333,Minimum Sum of Squared Difference,Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Sorting + Greedy Check,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2334,Subarray With Elements Greater Than Varying Threshold,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
2335,Minimum Amount of Time to Fill Cups,Array / Sequence,Heap,Priority-based selection,+ Greedy Check + Math,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(1),Container canvas (stack/queue/heap)
2336,Smallest Number in Infinite Set,Number / Bit / Math,Heap,Priority-based selection,+ Hash Set,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
2337,Move Pieces to Obtain a String,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
2338,Count the Number of Ideal Arrays,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
2339,All the Matches of the League,Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,O(N^2),Relational table canvas
2340,Minimum Adjacent Swaps to Make a Valid Array (Premium),Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
2341,Maximum Number of Pairs in Array,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2342,Max Sum of a Pair With Equal Sum of Digits,Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
2343,Query Kth Smallest Trimmed Number,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,Custom / source-specific,Custom / source-specific,Formula / invariant canvas
2344,Minimum Deletions to Make Array Divisible,Array / Sequence,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,Custom / source-specific,Custom / source-specific,Formula / invariant canvas
2345,Finding the Number of Visible Mountains (Premium),Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,None,Canonical: Merge Intervals,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
2346,Compute the Rank as a Percentage (SQL Premium),Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2347,Best Poker Hand,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2348,Number of Zero-Filled Subarrays,Number / Bit / Math,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,O(N),O(N),Strip / timeline / pointer canvas
2349,Design a Number Container System,Number / Bit / Math,Heap,Priority-based selection,+ Hash Map + Hash Set,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
2350,Shortest Impossible Sequence of Rolls,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Strip / timeline / pointer canvas
2351,First Letter to Appear Twice,Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Range / bit-state canvas
2352,Equal Row and Column Pairs,Matrix / Grid,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Grid / board canvas
2353,Design a Food Rating System,Array / Sequence,Heap,Priority-based selection,+ Hash Map + Queue/Deque,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
2354,Number of Excellent Pairs,Matrix / Grid,Counting,Frequency counting,+ Tree + Segment/Fenwick + Math,Canonical: Frequency counting,O(N),O(N),Grid / board canvas
2355,Maximum Number of Books You Can Take (Premium),Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
2356,Number of Unique Subjects Taught by Each Teacher (SQL Premium),Relational Table / SQL,SQL / Group By,Distinct aggregation,+ Counting,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2357,Make Array Zero by Subtracting Equal Amounts,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
2358,Maximum Number of Groups Entering a Competition,Number / Bit / Math,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Lookup-table / bucket canvas
2359,Find Closest Node to Given Two Nodes,Array / Sequence,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,O(V+E),O(V),Node-link canvas (tree/list/trie)
2360,Longest Cycle in a Graph,Linked List,DFS,Depth-first traversal,+ Sorting,Canonical: Depth-first component exploration,O(V+E),O(V),Node-link canvas (tree/list/trie)
2361,Minimum Costs Using the Train Line (Premium),Intervals / Geometry / Coordinates,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(N),Container canvas (stack/queue/heap)
2362,Generate the Invoice (SQL Premium),Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2363,Merge Similar Items,Array / Sequence,Hash Map,Direct keyed lookup,+ Tree,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
2364,Count Number of Bad Pairs,Number / Bit / Math,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
2365,Task Scheduler II,Array / Sequence,Hash Map,Direct keyed lookup,+ Greedy Check,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
2366,Minimum Replacements to Sort the Array,Number / Bit / Math,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
2367,Number of Arithmetic Triplets,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
2368,Reachable Nodes With Restrictions,Array / Sequence,BFS,Single-source breadth-first traversal,+ Hash Set,Canonical: Shortest-path layer BFS,O(V+E),O(V),Node-link canvas (tree/list/trie)
2369,Check if There is a Valid Partition For The Array,Number / Bit / Math,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(N),State-table / recurrence canvas
2370,Longest Ideal Subsequence,String / Text,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(N),Lookup-table / bucket canvas
2371,Minimize Maximum Value in a Grid (Premium),Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Sorting + Greedy Check,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
2372,Calculate the Influence Score (SQL Premium),Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2373,Largest Local Values in a Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
2374,Node With Highest Edge Score,Graph / Network,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Node-link canvas (tree/list/trie)
2375,Construct Smallest Number From DI String,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,Custom / source-specific,Custom / source-specific,Container canvas (stack/queue/heap)
2376,Count Special Integers,Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask + Math,Canonical: Traveling-state / subset DP,O(N·2^N),O(2^N),Range / bit-state canvas
2377,Sort the Olympic Table (SQL Premium),Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Relational table canvas
2378,Choose Edges to Maximize Score in a Tree (Premium),Tree / Trie,Dynamic Programming,Tree DP,+ Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,O(states × transitions),O(states),Graph / state-network canvas
2379,Minimum Recolors to Get K Consecutive Black Blocks,Number / Bit / Math,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Graph / state-network canvas
2380,Time Needed to Rearrange a Binary String,Intervals / Geometry / Coordinates,Dynamic Programming,State-transition DP,+ Greedy Check + Math,Canonical: Coin Change / state-transition DP,O(states × transitions),O(states),State-table / recurrence canvas
2381,Shifting Letters II,Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,O(N),O(N),Formula / invariant canvas
2382,Maximum Segment Sum After Removals,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(1),O(N),Object / process canvas
2383,Minimum Hours of Training to Win a Competition,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
2384,Largest Palindromic Number,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Greedy Check,Canonical: Group Anagrams / frequency map,O(N),O(N),Lookup-table / bucket canvas
2385,Amount of Time for Binary Tree to Be Infected,Tree / Trie,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Binary Tree Level Order Traversal,O(V+E),O(V),Node-link canvas (tree/list/trie)
2386,Find the K-Sum of an Array,Array / Sequence,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
2387,Median of a Row-Wise Sorted Matrix (Premium),Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(R·C),O(1)-O(R·C),Grid / board canvas
2388,Change Null Values in a Table to the Previous Value (SQL Premium),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2389,Longest Subsequence With Limited Sum,String / Text,Binary Search,Exact / partition binary search,+ Sorting + Prefix/Suffix,Canonical: Binary Search / median partition,O(log N),Custom / source-specific,Container canvas (stack/queue/heap)
2390,Removing Stars From a String,String / Text,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
2391,Minimum Amount of Time to Collect Garbage,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N),O(N),Strip / timeline / pointer canvas
2392,Build a Matrix With Conditions,Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V+E),O(V),Grid / board canvas
2393,Count Strictly Increasing Subarrays (Premium),Array / Sequence,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(N),State-table / recurrence canvas
2394,Employees With Deductions (SQL Premium),Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
2395,Find Subarrays With Equal Sum,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(1),O(N),Lookup-table / bucket canvas
2396,Strictly Palindromic Number,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
2397,Maximum Rows Covered by Columns,Number / Bit / Math,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,O(2^N),O(1)-O(2^N),Range / bit-state canvas
2398,Maximum Number of Robots Within Budget,Number / Bit / Math,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,O(N),O(N),Container canvas (stack/queue/heap)
2399,Check Distances Between Same Letters,Intervals / Geometry / Coordinates,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
2400,Number of Ways to Reach a Position After Exactly k Steps,Matrix / Grid,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,Custom / source-specific,Custom / source-specific,Grid / board canvas
2401,Longest Nice Subarray,Array / Sequence,Sliding Window,Variable-size window,+ Bitmask,Canonical: Minimum Window / variable-size window,O(N),O(1),Range / bit-state canvas
2402,Meeting Rooms III,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Heap + Queue/Deque,Canonical: Text-processing pipeline,O(M log M + M log R),Custom / source-specific,Container canvas (stack/queue/heap)
2403,Minimum Time to Kill All Monsters,Array / Sequence,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,O(N·2^N),O(2^N),Range / bit-state canvas
2404,Most Frequent Even Element,Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(K),Lookup-table / bucket canvas
2405,Optimal Partition of String,String / Text,Greedy,Local-choice optimization,+ Hash Set + Bitmask,Canonical: Gas Station / local-choice greedy,O(1),O(1),Range / bit-state canvas
