ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
2537,Count the Number of Good Subarrays,Sliding Window with Frequency Map.,"Draw the array. Slide a bracket `[ ]`. Keep a tally of pairs. When tally >= k, calculate (N - right) and add to total. Move the left bracket and repeat.",Lookup-table / bucket canvas
2538,Difference Between Maximum and Minimum Price Sum,Tree Dynamic Programming (Rerooting or Diameters).,"Draw a tree. At each node, write two numbers. The first is the max price-sum including a leaf, the second is excluding a leaf. Combine these as you bubble up from children to parent.",State-table / recurrence canvas
2539,Count the Number of Good Subsequences,Combinatorics + Frequency Counting.,"Write ""a:3, b:2"". Pick frequency f=1 . Ways = (Comb(3,1)+1) * (Comb(2,1)+1) - 1 . Repeat for f=2 and f=3 . Sum the results.",Lookup-table / bucket canvas
2540,Minimum Common Value,Two Pointers (Sorted Array Property).,"Draw two sorted arrays. Put one finger on the start of each. Move the finger pointing to the smaller number. If they point to the same number, you found it.",Coordinate-plane canvas
2541,Minimum Operations to Make Array Equal II,Greedy Difference Tracking + Parity Check.,"Draw a table with 3 columns: nums1 , nums2 , and Difference . Mark each difference as a multiple of k. Check if the sum of all differences is 0. If yes, count the ""up-moves"" (+ differences).",Formula / invariant canvas
2542,Maximum Subsequence Score,Sorting + Min-Heap (Sliding Window of Top K).,"Draw the sorted pairs. Draw a ""Bucket"" (Min-Heap) that holds k numbers. As you slide down the list, replace the smallest number in the bucket with the new one if the bucket is full. Multiply the bucket's sum by the current row's nums2 .",Container canvas (stack/queue/heap)
2543,Check if Point Is Reachable,Number Theory (GCD + Power of Two).,"Write down x and y. Perform the Euclidean algorithm (repeated subtraction/modulo) to find the GCD. Once you have the GCD, check if it can be repeatedly divided by 2 until it becomes 1.",Coordinate-plane canvas
2544,Alternating Digit Sum,Math-based digit extraction (Modulo/Division).,"Write the number. Peel off the last digit. Write it with a minus. Peel next, write with a plus. If you end on a minus but it was the first digit, flip all signs in your head.",Formula / invariant canvas
2545,Sort the Students by Their Kth Score,Custom Comparator / Lambda Sorting.,Draw the matrix. Look only at column k. Identify the largest number in that column—move that entire row to the top. Identify the second largest—move that row to second. Repeat.,Grid / board canvas
2546,Apply Bitwise Operations to Make Strings Equal,Logical Invariance (Existence of '1').,"Write s and target . Simply circle any '1' you see in both. If both have at least one circle, or neither has a circle, it's possible.",Coordinate-plane canvas
2547,Minimum Cost to Split an Array,1D Dynamic Programming with Frequency Map optimization.,"Draw an array of boxes for dp . At box i , look back at all previous boxes j . Calculate the cost of the segment from j to i , add it to dp[j] , and pick the smallest result for dp[i] .",Lookup-table / bucket canvas
2548,Maximum Price to Fill a Bag (Premium),Greedy Algorithm (Price-per-Weight Ratio).,"Write items as fractions: Price / Weight . Sort them. Pick the biggest fraction, subtract its weight from your bag's capacity. If it doesn't fit, multiply the fraction by your remaining capacity.",Strip / timeline / pointer canvas
2549,Count Distinct Numbers on Board,Mathematical Observation (Cascade Effect).,Write n. Note that n-1 always fits the rule. Then n-2 fits for n-1. Draw a line of numbers falling like dominoes.,Grid / board canvas
2550,Count Collisions of Monkeys on a Polygon,Complementary Counting + Binary Exponentiation.,"Write 2^n. Subtract 2. Apply modulo. Use ""Square and Multiply"" to calculate 2^n on paper.",Formula / invariant canvas
2551,Put Marbles in Bags,Sorting Pair Sums (Boundary Logic).,"Write the array. Calculate sums of every two adjacent numbers (1+2, 2+3, etc.). List these sums. Pick the k-1 biggest and the k-1 smallest. Subtract the totals.",Strip / timeline / pointer canvas
2552,Count Increasing Quadruplets,"2D Prefix Sums / Precomputation of ""Smaller"" and ""Greater"" counts.",Draw the array. Fix two middle fingers on j and k. Look left for small numbers and right for large numbers. Use a pre-written table to instantly get those counts instead of manual counting.,Strip / timeline / pointer canvas
2553,Separate the Digits in an Array,Iterative Digit Extraction (Modulo & Stack).,"Draw the array. Under each number, draw a small vertical list of its digits. Then read the entire page left-to-right, top-to-bottom.",Container canvas (stack/queue/heap)
2554,Maximum Number of Integers to Choose From a Range I,Greedy Selection + Hash Set Lookup.,Write 1 to n. Cross out the banned numbers. Start circling the remaining numbers from left to right. Stop when the sum of circled numbers exceeds maxSum .,Lookup-table / bucket canvas
2555,Maximize Win From Two Segments,Sliding Window + Dynamic Programming (Prefix Max).,"Draw the prizes. Slide a window of length k. Write down the ""best score so far"" in a row of boxes below. Then, at each step, add the ""current window score"" to the ""best score found before this window started.""",State-table / recurrence canvas
2556,Disconnect Path in a Binary Matrix by at Most One Flip,Double DFS / Max Flow Min Cut (Path Neutralization).,"Draw a grid. Trace a path with a pencil. Erase that pencil line so those cells are now ""walls."" Try to draw a new path with a pen. If you can't reach the end, one flip is enough.",Grid / board canvas
2557,Maximum Number of Integers to Choose From a Range II (Premium),Sorting + Binary Search on Answer Space.,"Write the banned numbers. Guess a number X=100. Calculate sum 1...100 using n(n+1)/2. Subtract the sum of banned numbers < 100. If too small, guess X=200. Use binary search to narrow it down.",Strip / timeline / pointer canvas
2558,Take Gifts From the Richest Pile,Max-Heap (Priority Queue).,"Draw a triangle (heap). Put the biggest number at the top. Remove it, root it, put the smaller result back. Watch it ""sink"" into the triangle. Repeat k times.",Container canvas (stack/queue/heap)
2559,Count Vowel Strings in Ranges,Prefix Sum Array.,"Draw the strings. Below them, write '1' or '0'. Below that, write the running total (e.g., 0, 1, 1, 2, 3...). To find the count between two points, just subtract the two numbers at those points.",Coordinate-plane canvas
2560,House Robber IV,Binary Search on Answer Space + Greedy Counting.,"Write the house values. Pick a target X=10. Go through the list: ""Can I rob this house? (Is it <= 10 and neighbor not robbed?)"". Count how many. If count >= k, try X=5.",Strip / timeline / pointer canvas
2561,Rearranging Fruits,Frequency Mapping + Greedy Pairing + Min-Cost Observation.,List the fruits that need to be moved from Basket A and those from Basket B. Sort them. Compare the cost of swapping them directly vs. using the global cheapest fruit twice. Sum the minimums.,Container canvas (stack/queue/heap)
2562,Find the Array Concatenation Value,Two-Pointer Iteration + Mathematical Concatenation.,"Draw the array. Put left and right fingers on the ends. Calculate the ""merged"" value. Move fingers inward. If they meet on one number, just add that number.",Coordinate-plane canvas
2563,Count the Number of Fair Pairs,Sorting + Two Pointers (or Binary Search).,"Draw a sorted array. Pick a number. Use two ""boundary markers"" to find the first and last numbers that, when added to your picked number, stay within the limits. Count the distance between markers.",Coordinate-plane canvas
2564,Substring XOR Queries,Precomputation of All Substrings (up to 30 bits) + Hash Map.,"Draw the string. Write down every number formed by 1-3 digits. Index them: ""1"" at 0, ""10"" at 0, ""101"" at 0, ""0"" at 1... . To answer a query, just check your index list.",Node-link canvas (tree/list/trie)
2565,Subsequence With the Minimum Score,Two-Pass Prefix/Suffix Matching + Sliding Window.,"Draw strings s and t . Match t from the left as far as possible. Match t from the right as far as possible. Find where the ""left-match"" and ""right-match"" can meet or overlap.",Strip / timeline / pointer canvas
2566,Maximum Difference by Remapping a Digit,Greedy First-Digit Replacement.,Write the number. For Max: Circle the first digit that isn't a 9. Turn every digit like it into a 9. For Min: Circle the first digit. Turn every digit like it into a 0. Subtract the results.,Lookup-table / bucket canvas
2567,Minimum Score by Changing Two Elements,Boundary Analysis (Sorting).,"Draw a sorted line of numbers. Pick the 3 smallest and 3 largest. Draw brackets for the three scenarios above and measure the width of the remaining ""active"" numbers.",Strip / timeline / pointer canvas
2568,Minimum Impossible OR,Power of Two Check (Bit Manipulation).,Write the array. Check: Is 1 there? Yes. Is 2 there? Yes. Is 4 there? No. Answer is 4.,Strip / timeline / pointer canvas
2569,Handling Sum Queries After Update,Segment Tree with Lazy Propagation.,"Draw a tree where each leaf is a bit. Each parent shows the sum of 1s below it. When flipping a range, just flip the parent and mark a ""Pending Flip"" tag on the children.",Range / bit-state canvas
2570,Merge Two 2D Arrays by Summing Values,Two-Pointer Merging (Sorted Property).,"Draw the two sorted lists. Place a finger at the start of each. Move the finger pointing to the smaller ID. If they match, sum the values. Record the results on a third piece of paper.",Coordinate-plane canvas
2571,Minimum Operations to Reduce an Integer to 0,Greedy Bit Manipulation (Low-bit Analysis).,"Write the number in binary. Circle clusters of 1s. If a cluster has length 1, cross it out. If length > 1, add 1 to the end of it and handle the carry. Count each ""fix"" as one operation.",Coordinate-plane canvas
2572,Count the Number of Square-Free Subsets,Bitmask Dynamic Programming (Primes as Bits).,"Draw 10 slots (for the 10 primes). Take a number like 6 (mask: 2 and 3). If you have a subset already using 5, you can add 6. If you have one already using 2, you can't. Record the number of ways in a table of 2^10 (1024) rows.",Range / bit-state canvas
2573,Find the String with LCP,Union-Find / Greedy Coloring + LCP Verification.,"Draw N circles. Look at the LCP matrix: if `LCP[i][j] > 0`, draw a line between circle i and circle j. Color connected circles with the same letter. Then, double-check that the ""prefix length"" rules are actually followed.",Grid / board canvas
2574,Left and Right Sum Differences,Prefix and Suffix Running Totals.,"Write the array. Calculate the total. Start a ""Running Left Sum"" at 0. At each number, calculate `Total - LeftSum - Current`. Write the result. Add `Current` to `LeftSum`.",Strip / timeline / pointer canvas
